/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=6780 loss=0.078127 time=0.065374 fft=0.015030
step=6800 loss=0.086260 time=0.071977 fft=0.016832
step=6820 loss=0.082520 time=0.068874 fft=0.016083
step=6840 loss=0.076577 time=0.063693 fft=0.015183
step=6860 loss=0.077660 time=0.064932 fft=0.015000
step=6880 loss=0.070125 time=0.058987 fft=0.013127
step=6900 loss=0.082294 time=0.068547 fft=0.016202
step=6920 loss=0.080047 time=0.067250 fft=0.015082
step=6940 loss=0.081547 time=0.068246 fft=0.015675
step=6960 loss=0.090386 time=0.075543 fft=0.017492
step=6980 loss=0.084676 time=0.070612 fft=0.016575
step=7000 loss=0.070321 time=0.058899 fft=0.013461
step=7000 val_loss=0.080431
step=7020 loss=0.084518 time=0.070511 fft=0.016507
step=7040 loss=0.074201 time=0.062065 fft=0.014302
step=7060 loss=0.079626 time=0.066683 fft=0.015253
step=7080 loss=0.075966 time=0.063592 fft=0.014583
step=7100 loss=0.087059 time=0.072625 fft=0.017011
step=7120 loss=0.076075 time=0.063333 fft=0.015017
step=7140 loss=0.088020 time=0.073683 fft=0.016896
step=7160 loss=0.078491 time=0.065500 fft=0.015310
step=7180 loss=0.075915 time=0.063471 fft=0.014666
step=7200 loss=0.084953 time=0.071249 fft=0.016151
step=7220 loss=0.086300 time=0.072263 fft=0.016542
step=7240 loss=0.083106 time=0.069737 fft=0.015755
step=7260 loss=0.085727 time=0.071452 fft=0.016823
step=7280 loss=0.078532 time=0.065542 fft=0.015309
step=7300 loss=0.081829 time=0.068589 fft=0.015602
step=7320 loss=0.080661 time=0.067708 fft=0.015266
step=7340 loss=0.083269 time=0.069683 fft=0.016011
step=7360 loss=0.090315 time=0.075412 fft=0.017563
step=7380 loss=0.082842 time=0.069792 fft=0.015379
step=7400 loss=0.078073 time=0.065258 fft=0.015103
step=7420 loss=0.076444 time=0.063920 fft=0.014759
step=7440 loss=0.082962 time=0.069328 fft=0.016068
step=7460 loss=0.086951 time=0.072511 fft=0.017018
step=7480 loss=0.090545 time=0.075597 fft=0.017616
step=7500 loss=0.083582 time=0.070106 fft=0.015881
step=7500 val_loss=0.081043
step=7520 loss=0.076407 time=0.063709 fft=0.014964
step=7540 loss=0.076202 time=0.063713 fft=0.014718
step=7560 loss=0.083426 time=0.069395 fft=0.016536
step=7580 loss=0.080777 time=0.067586 fft=0.015546
step=7600 loss=0.080037 time=0.066636 fft=0.015793
step=7620 loss=0.087256 time=0.073093 fft=0.016691
step=7640 loss=0.074915 time=0.062342 fft=0.014818
step=7660 loss=0.080749 time=0.067597 fft=0.015500
step=7680 loss=0.078029 time=0.065145 fft=0.015185
step=7700 loss=0.071668 time=0.060163 fft=0.013559
step=7720 loss=0.089879 time=0.075277 fft=0.017209
step=7740 loss=0.095153 time=0.079436 fft=0.018523
step=7760 loss=0.077535 time=0.064528 fft=0.015329
step=7780 loss=0.082399 time=0.068924 fft=0.015880
step=7800 loss=0.080828 time=0.067665 fft=0.015513
step=7820 loss=0.092579 time=0.076929 fft=0.018444
step=7840 loss=0.088390 time=0.073660 fft=0.017360
step=7860 loss=0.072955 time=0.061161 fft=0.013899
step=7880 loss=0.076769 time=0.064096 fft=0.014935
step=7900 loss=0.078460 time=0.065622 fft=0.015130
step=7920 loss=0.085428 time=0.071262 fft=0.016696
step=7940 loss=0.083588 time=0.069695 fft=0.016373
step=7960 loss=0.085003 time=0.071565 fft=0.015836
step=7980 loss=0.072268 time=0.060399 fft=0.013988
step=8000 loss=0.075026 time=0.062567 fft=0.014683
step=8000 val_loss=0.080231
step=8020 loss=0.088860 time=0.074298 fft=0.017162
step=8040 loss=0.073793 time=0.061805 fft=0.014128
step=8060 loss=0.078208 time=0.065486 fft=0.014994
step=8080 loss=0.081624 time=0.068303 fft=0.015699
step=8100 loss=0.082517 time=0.068846 fft=0.016111
step=8120 loss=0.079988 time=0.066916 fft=0.015405
step=8140 loss=0.084156 time=0.069845 fft=0.016866
step=8160 loss=0.077847 time=0.065156 fft=0.014957
step=8180 loss=0.073549 time=0.061598 fft=0.014084
step=8200 loss=0.078085 time=0.065480 fft=0.014855
step=8220 loss=0.082726 time=0.069477 fft=0.015614
step=8240 loss=0.081411 time=0.068176 fft=0.015597
step=8260 loss=0.078861 time=0.065536 fft=0.015703
step=8280 loss=0.077175 time=0.064529 fft=0.014903
step=8300 loss=0.077231 time=0.064409 fft=0.015111
step=8320 loss=0.084941 time=0.070903 fft=0.016543
step=8340 loss=0.081131 time=0.067696 fft=0.015832
step=8360 loss=0.079123 time=0.066331 fft=0.015075
step=8380 loss=0.082520 time=0.069097 fft=0.015819
step=8400 loss=0.085480 time=0.071476 fft=0.016504
step=8420 loss=0.078731 time=0.065848 fft=0.015183
step=8440 loss=0.075298 time=0.062780 fft=0.014752
step=8460 loss=0.086202 time=0.072167 fft=0.016541
step=8480 loss=0.083184 time=0.069148 fft=0.016541
step=8500 loss=0.078638 time=0.065617 fft=0.015345
step=8500 val_loss=0.079429
step=8520 loss=0.088427 time=0.074024 fft=0.016974
step=8540 loss=0.083003 time=0.069276 fft=0.016177
step=8560 loss=0.070773 time=0.059140 fft=0.013710
step=8580 loss=0.082385 time=0.068644 fft=0.016193
step=8600 loss=0.077373 time=0.064782 fft=0.014839
